Municipality,2017,2018,2019,2020,2021,2022,2023
0719 Andebu (-2016),.,.,.,.,.,.,.
0720 Stokke (-2016),.,.,.,.,.,.,.
0722 Nøtterøy (-2017),1.4,.,.,.,.,.,.
0723 Tjøme (-2017),0.5,.,.,.,.,.,.
0728 Lardal (-2017),-3.9,.,.,.,.,.,.
0729 Færder (2018-2019),.,0.5,0.7,.,.,.,.
0805 Porsgrunn (-2019),2.4,0.7,2.4,.,.,.,.
0806 Skien (-2019),2.8,2.0,1.2,.,.,.,.
0807 Notodden (-2019),2.1,-0.4,1.4,.,.,.,.
0811 Siljan (-2019),5.9,3.8,3.3,.,.,.,.
0814 Bamble (-2019),5.0,1.1,3.5,.,.,.,.
0815 Kragerø (-2019),2.1,0.1,1.7,.,.,.,.
0817 Drangedal (-2019),3.4,0.2,-1.6,.,.,.,.
0819 Nome (-2019),2.1,0.5,-0.7,.,.,.,.
0821 Bø (Telemark) (-2019),4.8,0.2,-4.3,.,.,.,.
0822 Sauherad (-2019),1.8,1.3,0.1,.,.,.,.
0826 Tinn (-2019),4.3,1.2,1.8,.,.,.,.
0827 Hjartdal (-2019),2.0,2.9,16.3,.,.,.,.
0828 Seljord (-2019),-0.8,0.3,1.4,.,.,.,.
0829 Kviteseid (-2019),1.7,3.1,-1.5,.,.,.,.
0830 Nissedal (-2019),2.4,-0.5,-3.2,.,.,.,.
0831 Fyresdal (-2019),2.3,4.3,0.9,.,.,.,.
0833 Tokke (-2019),5.1,4.5,-1.2,.,.,.,.
0834 Vinje (-2019),3.8,2.7,3.3,.,.,.,.
4201 Risør,.,.,.,1.2,2.8,-0.2,-3.3
4202 Grimstad,.,.,.,1.5,4.1,1.5,-0.3
4203 Arendal,.,.,.,0.2,4.1,2.0,-0.4
4204 Kristiansand,.,.,.,3.4,4.4,-0.6,2.1
4205 Lindesnes,.,.,.,0.2,2.3,-1.5,2.8
4206 Farsund,.,.,.,3.1,5.1,0.5,0.5
4207 Flekkefjord,.,.,.,2.4,2.6,3.1,0.1
4211 Gjerstad,.,.,.,-0.3,2.9,-0.4,-1.3
4212 Vegårshei,.,.,.,-1.2,2.2,-3.2,-1.4
4213 Tvedestrand,.,.,.,1.8,0.7,-1.0,-2.5
4214 Froland,.,.,.,-1.7,0.3,3.0,-1.2
4215 Lillesand,.,.,.,2.1,1.6,-0.2,-1.5
4216 Birkenes,.,.,.,-1.7,-0.8,-3.1,0.0
4217 Åmli,.,.,.,6.5,6.6,4.1,8.0
4218 Iveland,.,.,.,7.1,5.7,5.9,13.4
4219 Evje og Hornnes,.,.,.,3.0,0.6,2.0,3.8
4220 Bygland,.,.,.,1.4,0.9,1.0,9.3
4221 Valle,.,.,.,6.3,-0.5,4.6,13.5
4222 Bykle,.,.,.,18.3,14.7,13.3,16.4
4223 Vennesla,.,.,.,2.9,1.7,-1.1,1.1
4224 Åseral,.,.,.,8.3,11.5,-0.6,17.1
4225 Lyngdal,.,.,.,0.0,1.3,3.0,3.5
4226 Hægebostad,.,.,.,2.8,1.2,1.4,1.0
4227 Kvinesdal,.,.,.,1.7,4.1,3.3,11.9
4228 Sirdal,.,.,.,14.3,9.0,-0.1,6.0
0901 Risør (-2019),0.2,0.2,-0.6,.,.,.,.
0904 Grimstad (-2019),3.6,0.2,-0.4,.,.,.,.
0906 Arendal (-2019),2.3,1.8,0.1,.,.,.,.
0911 Gjerstad (-2019),2.7,1.7,0.0,.,.,.,.
0912 Vegårshei (-2019),2.8,1.2,-0.9,.,.,.,.
0914 Tvedestrand (-2019),1.4,1.1,-1.5,.,.,.,.
0919 Froland (-2019),-0.2,-0.7,-1.2,.,.,.,.
0926 Lillesand (-2019),4.2,1.1,0.4,.,.,.,.
0928 Birkenes (-2019),4.6,-0.3,-0.2,.,.,.,.
0929 Åmli (-2019),3.9,1.4,2.6,.,.,.,.
0935 Iveland (-2019),5.0,2.9,1.3,.,.,.,.
0937 Evje og Hornnes (-2019),2.2,2.2,-0.3,.,.,.,.
0938 Bygland (-2019),3.3,-0.3,-5.4,.,.,.,.
0940 Valle (-2019),8.0,3.1,2.7,.,.,.,.
0941 Bykle (-2019),10.0,6.4,11.2,.,.,.,.
1001 Kristiansand (-2019),3.4,2.0,1.6,.,.,.,.
1002 Mandal (-2019),1.6,2.7,-1.7,.,.,.,.
1003 Farsund (-2019),0.9,3.6,0.4,.,.,.,.
1004 Flekkefjord (-2019),-0.2,2.7,0.7,.,.,.,.
1014 Vennesla (-2019),5.7,0.9,1.7,.,.,.,.
1017 Songdalen (-2019),4.5,0.5,2.3,.,.,.,.
1018 Søgne (-2019),3.4,0.3,1.2,.,.,.,.
1021 Marnardal (-2019),11.2,-8.5,-5.7,.,.,.,.
1026 Åseral (-2019),14.1,11.7,8.3,.,.,.,.
1027 Audnedal (-2019),15.2,-3.0,-10.8,.,.,.,.
1029 Lindesnes (-2019),4.2,0.8,-2.6,.,.,.,.
1032 Lyngdal (-2019),3.0,1.9,-5.0,.,.,.,.
1034 Hægebostad (-2019),2.3,0.3,-0.2,.,.,.,.
1037 Kvinesdal (-2019),1.8,2.2,4.1,.,.,.,.
1046 Sirdal (-2019),4.4,2.7,3.7,.,.,.,.
1101 Eigersund,3.3,-0.3,1.8,4.1,3.0,1.1,2.7
1102 Sandnes (-2019),5.1,3.0,0.5,.,.,.,.
1103 Stavanger,5.5,3.7,7.8,4.3,8.0,6.4,3.2
1106 Haugesund,5.5,2.9,5.0,2.1,3.4,2.1,-0.5
1108 Sandnes,.,.,.,2.7,6.3,2.7,4.7
1111 Sokndal,4.4,3.1,3.7,4.2,2.6,0.5,4.5
1112 Lund,0.3,-2.4,-1.9,2.8,5.0,1.2,-1.0
1114 Bjerkreim,2.9,2.7,-0.4,5.5,8.9,9.4,6.8
1119 Hå,1.4,4.3,3.0,6.2,8.6,6.8,6.3
1120 Klepp,2.2,3.0,3.8,5.0,8.7,6.5,5.9
1121 Time,2.9,0.4,1.7,1.8,6.8,4.4,1.5
1122 Gjesdal,4.9,3.3,1.3,1.6,7.9,3.7,1.0
1124 Sola,5.9,3.8,5.3,4.1,5.0,9.1,5.9
1127 Randaberg,0.4,-0.2,0.0,-0.1,2.0,1.1,2.7
1129 Forsand (-2019),18.5,-0.4,8.0,.,.,.,.
1130 Strand,8.5,3.3,0.4,2.3,2.4,0.7,-1.5
1133 Hjelmeland,5.0,8.6,3.1,7.9,8.0,7.1,8.5
1134 Suldal,8.7,10.5,9.9,5.6,19.2,28.6,20.5
